Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,513,29507,454,519735,"103274,85","100,000%",",19153","0,12","0,04","641,9"
Total,513,29507,454,519735,"103274,85","100,000%",",19153","0,12","0,04","641,9"
